iter	Passed	Remaining
0	143	142944
1	147	73600
2	152	50606
3	156	39033
4	161	32138
5	165	27496
6	170	24185
7	175	21720
8	179	19725
9	184	18250
10	188	16944
11	192	15884
12	197	14969
13	201	14183
14	205	13491
15	210	12974
16	215	12470
17	220	12016
18	225	11642
19	229	11230
20	232	10855
21	235	10467
22	237	10095
23	239	9750
24	241	9432
25	243	9131
26	245	8849
27	247	8590
28	249	8345
29	250	8114
30	252	7893
31	253	7680
32	255	7483
33	256	7296
34	258	7120
35	259	6945
36	260	6780
37	261	6622
38	262	6473
39	264	6336
40	265	6202
41	267	6098
42	268	5976
43	269	5862
44	270	5748
45	271	5640
46	272	5533
47	273	5433
48	275	5337
49	276	5244
50	277	5154
51	277	5067
52	278	4984
53	280	4905
54	280	4827
55	282	4754
56	283	4682
57	284	4613
58	285	4545
59	286	4480
60	287	4419
61	288	4359
62	289	4301
63	290	4245
64	291	4188
65	292	4135
66	293	4083
67	293	4026
68	294	3978
69	295	3930
70	296	3883
71	297	3837
72	298	3793
73	299	3753
74	301	3713
75	302	3673
76	303	3634
77	304	3594
78	305	3558
79	306	3523
80	307	3488
81	308	3454
82	309	3421
83	310	3388
84	311	3352
85	312	3321
86	313	3286
87	314	3256
88	315	3226
89	316	3196
90	317	3168
91	318	3141
92	319	3113
93	320	3086
94	321	3060
95	322	3034
96	323	3009
97	324	2985
98	325	2963
99	326	2940
100	327	2917
101	328	2890
102	329	2868
103	330	2845
104	331	2822
105	332	2801
106	333	2780
107	334	2758
108	335	2738
109	336	2719
110	337	2699
111	338	2682
112	339	2662
113	340	2643
114	340	2623
115	341	2604
116	342	2586
117	343	2569
118	344	2550
119	345	2533
120	346	2516
121	347	2501
122	348	2482
123	349	2466
124	350	2450
125	350	2434
126	352	2419
127	352	2402
128	353	2388
129	354	2374
130	355	2360
131	356	2346
132	357	2332
133	358	2318
134	359	2305
135	360	2292
136	361	2278
137	362	2264
138	363	2252
139	364	2240
140	365	2228
141	366	2217
142	367	2205
143	369	2194
144	370	2183
145	371	2171
146	372	2161
147	373	2150
148	374	2139
149	375	2128
150	376	2119
151	377	2108
152	379	2098
153	380	2087
154	381	2077
155	382	2066
156	383	2056
157	384	2046
158	385	2037
159	386	2027
160	387	2018
161	388	2008
162	389	1999
163	390	1990
164	391	1982
165	392	1973
166	393	1964
167	394	1955
168	395	1946
169	396	1938
170	397	1929
171	398	1920
172	399	1912
173	401	1904
174	402	1895
175	403	1888
176	404	1881
177	405	1873
178	406	1865
179	407	1857
180	408	1848
181	409	1840
182	410	1832
183	411	1825
184	412	1818
185	413	1811
186	414	1803
187	415	1796
188	416	1789
189	418	1782
190	419	1775
191	420	1768
192	421	1762
193	422	1755
194	423	1748
195	424	1742
196	425	1735
197	426	1728
198	427	1722
199	428	1715
200	430	1709
201	431	1703
202	432	1697
203	433	1690
204	434	1684
205	435	1677
206	436	1671
207	437	1665
208	438	1659
209	439	1653
210	440	1647
211	441	1641
212	442	1635
213	443	1629
214	444	1623
215	445	1618
216	446	1612
217	447	1606
218	448	1601
219	450	1595
220	451	1589
221	452	1584
222	453	1579
223	454	1573
224	455	1568
225	456	1563
226	457	1558
227	458	1553
228	459	1547
229	460	1542
230	461	1537
231	463	1532
232	464	1527
233	465	1522
234	466	1517
235	467	1512
236	468	1507
237	469	1502
238	470	1498
239	471	1492
240	472	1488
241	473	1483
242	474	1478
243	475	1473
244	476	1469
245	477	1464
246	478	1460
247	479	1455
248	480	1450
249	482	1446
250	483	1442
251	484	1437
252	485	1432
253	486	1428
254	487	1423
255	488	1419
256	489	1415
257	490	1411
258	491	1406
259	492	1402
260	493	1397
261	494	1393
262	495	1389
263	496	1385
264	497	1381
265	498	1376
266	500	1372
267	501	1369
268	502	1365
269	503	1361
270	504	1356
271	505	1352
272	506	1348
273	507	1344
274	508	1340
275	509	1336
276	510	1332
277	511	1329
278	512	1325
279	513	1321
280	515	1317
281	516	1314
282	517	1310
283	518	1307
284	519	1303
285	520	1299
286	521	1296
287	522	1292
288	523	1288
289	524	1285
290	526	1281
291	527	1278
292	528	1274
293	529	1271
294	530	1267
295	531	1264
296	532	1260
297	533	1256
298	534	1253
299	535	1249
300	536	1246
301	537	1242
302	538	1239
303	539	1236
304	540	1232
305	542	1229
306	543	1225
307	544	1222
308	545	1219
309	546	1215
310	547	1212
311	548	1209
312	549	1205
313	550	1202
314	551	1199
315	552	1195
316	553	1192
317	554	1189
318	555	1186
319	556	1183
320	557	1180
321	559	1177
322	560	1174
323	561	1170
324	562	1167
325	563	1164
326	564	1161
327	565	1158
328	566	1155
329	567	1152
330	568	1149
331	569	1146
332	570	1143
333	571	1140
334	572	1137
335	574	1134
336	575	1131
337	576	1128
338	577	1125
339	578	1122
340	579	1119
341	580	1116
342	581	1114
343	582	1111
344	583	1107
345	584	1104
346	585	1102
347	586	1099
348	587	1096
349	588	1093
350	589	1090
351	590	1087
352	591	1084
353	592	1082
